ISBN,name,keyword,category
P1903120001,韓國Enaak激辣口味小雞點心麵 (30包入/盒裝) 420g,/團購美食\進口零食\午茶點心\韓國零食\脆麵,休閒食品
P1410290001,有機紅妍蔘棗茶,Vilson/米森\茶\棗茶\茶包,休閒食品
P1407250014,飯友75,田中/香鬆\飯友,休閒食品
P1807180027,越後製果－起士泡芙米果８５ｇ,/中元搶先GO,休閒食品
P1602030016,正合興-紫蘇梅,正合興/果乾\水果乾\蜜餞,休閒食品
P1710050012,雀巢－義式濃縮咖啡膠囊,咖啡機/居家生活\沖泡飲品\雀巢\拿鐵\秘密特惠,休閒食品
P1512100016,HARIBO哈利寶-水蜜桃Q軟糖,HARIBO/哈利寶\零食\糖果\軟糖\水果軟糖,休閒食品
P1411300024,BANDAI-小叮噹玉米濃湯風味餅乾,BANDAI/零食\餅乾\玉米濃湯,休閒食品
P1511110005,阮的肉干-爆漿牛肉肉干正黑胡椒(相機超值包),阮的肉干/小吃\滷味\肉乾,休閒食品
P1807040012,韓國 DAMIZLE西瓜冰茶,/加一元送好禮\連假,休閒食品
P1807300001,黑松沙士清爽ｄｅｒ透明限定版　透明沙士　５００ｍｌ,/,休閒食品
P1510140025,Ｂｏｕｒｂｏｎ北日本－抹茶風味法蘭酥,Bourbon/北日本\零食\餅乾\法蘭酥\抹茶,休閒食品
P1411160027,淡鹽葵花仔2入/組,泰國零食/零食\葵花子,休閒食品
P1910090022,LOTTE單手炸雞餅乾52g,/LOTTE\炸雞\餅乾\精選零嘴,休閒食品
P1605250002,東鳩-洋蔥怪點心餅(洋蔥雞汁)(60g),Tohato/東鳩\零食\點心麵,休閒食品
P1505240001,Typhoo 泰豐-洋甘菊茶,Typhoo/泰豐\茶\茶包\洋甘菊茶,休閒食品
P1503270011,澳洲大嘴魚-薯格格(香草烤雞),PIRANHA/零食\餅乾\薯片\洋芋片\薯格格,休閒食品
P1606010027,Drip Coffee炭燒濾掛咖啡包（10入）,咖啡/咖啡\咖啡豆\炭燒咖啡,休閒食品
P1711290027,日本Tirol松尾 黃豆粉麻糬巧克力,糖果/團購美食\日本零食\餅乾,休閒食品
P1604130010,北日本 - 巧克力&咖啡餅乾(盒裝),Bourbon/北日本\零食\餅乾\夾心餅乾\巧克力,休閒食品
P1801100005,激安殿堂-竹鹽海苔12入54g,海苔/團購美食\過年禮盒,休閒食品
P1907100001,HOUSE 牛角玉米餅-烤玉米75g,/日本零食\好侍\零食\餅乾\玉米餅\烤玉米\中元搶先GO,休閒食品
P1410150001,暴君黑咖哩餅乾10/15,Tohato/東鳩\零食\暴君黑\咖哩\餅乾,休閒食品
P1707060003,Ｌｏｔｔｅ　樂天粒粒橘子汁２３８ｍｌ（二罐組）,/果汁\韓國\果肉\果粒\下午茶時光,休閒食品
P1501250021,PAPA通-海蝦餅(海苔口味),PAPA通/零食\餅乾\印尼零食\海鮮餅,休閒食品
P1608030022,固力果-PRETZ沙拉棒(9袋),Glico/固力果\零食\餅乾\沙拉棒,休閒食品
P1410030024,森永小枝＿白巧克力餅乾,MORINAGA/森永\零食\餅乾\巧克力,休閒食品
P1407300001,19 baby餅,零食/餅乾\嬰兒餅乾,休閒食品
P1410030002,麥卡多薯條-鹽味,MAKADO/麥卡多\零食\薯條,休閒食品
P1710050009,雀巢－卡布奇諾咖啡膠囊,咖啡機/居家生活\沖泡飲品\雀巢\拿鐵\秘密特惠,休閒食品
P1407250015,照燒15,肉類/照燒,休閒食品
P1705080008,韓國樂高積木果汁軟糖　兩入組,軟糖/團購美食\零食\午茶時光\軟糖\積木\樂高,休閒食品
P1508090034,SamjinX-5脆心巧克力棒(2入),X-5/零食\餅乾\巧克力棒\巧克力,休閒食品
P1710250004,韓國ＨＡＩＴＡＩ　激蝦薄片（香蒜蝦味）６０ｇ,餅乾/團購美食\異國零食\韓國零食\蝦餅,休閒食品
P1612280020,明治 HORN草莓夾心餅乾53g,/,休閒食品
P1912310014,舊李合興蜜餞-仙楂丸,/舊李合興\蜜餞\仙楂\梅子,休閒食品
P1410170026,菲律賓 沙母 (14兩~15兩) 四隻,海鮮/大閘蟹\螃蟹\沙母,休閒食品
